"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
-0.0015798,-0.00016787,0.99998,7.5128,-0.50583,-0.31778,0.37085,0.50583,1.0775,0.26087,-3,0.042446
0.0098358,-0.00038136,0.99994,7.4436,-0.4782,-0.35116,0.44059,0.4782,1.1019,0.28527,-3,0.042341
0.020494,-0.00062772,0.99978,7.3739,-0.45065,-0.38358,0.50566,0.45065,1.1268,0.31014,-3,0.041959
0.030395,-0.00090459,0.99953,7.303,-0.4229,-0.41484,0.56606,0.4229,1.152,0.33538,-3,0.041312
0.039228,-0.0011975,0.99922,7.2318,-0.39529,-0.44471,0.61992,0.39529,1.1775,0.36085,-3,0.040416
0.047042,-0.0014998,0.99888,7.1624,-0.36864,-0.47308,0.66754,0.36864,1.2031,0.38645,-3,0.039306
0.05425,-0.0018177,0.99852,7.0954,-0.34313,-0.49989,0.71145,0.34313,1.2288,0.4121,-3,0.038002
0.060967,-0.0021516,0.99813,7.03,-0.3185,-0.52508,0.75235,0.3185,1.2544,0.4377,-3,0.036523
0.067253,-0.0025006,0.99773,6.9659,-0.29454,-0.5486,0.7906,0.29454,1.2799,0.46313,-3,0.034887
0.073157,-0.0028636,0.99731,6.9025,-0.2711,-0.5704,0.82652,0.2711,1.3051,0.48828,-3,0.033115
0.078724,-0.0032393,0.99688,6.8398,-0.24811,-0.59043,0.86038,0.24811,1.33,0.51307,-3,0.031226
0.083994,-0.0036262,0.99645,6.7775,-0.22547,-0.60868,0.89241,0.22547,1.3544,0.53738,-3,0.02924
0.089002,-0.0040228,0.99602,6.7152,-0.20305,-0.62514,0.92285,0.20305,1.3782,0.56111,-3,0.027179
0.093779,-0.0044273,0.99558,6.6526,-0.18072,-0.6398,0.95187,0.18072,1.4014,0.58417,-3,0.025061
0.098347,-0.0048376,0.99513,6.5894,-0.15837,-0.65268,0.97962,0.15837,1.4238,0.60647,-3,0.022909
0.10272,-0.0052515,0.99469,6.5251,-0.13591,-0.66379,1.0062,0.13591,1.4453,0.62791,-3,0.020743
0.10691,-0.005666,0.99424,6.4595,-0.11317,-0.67318,1.0316,0.11317,1.4659,0.6484,-3,0.018583
0.11093,-0.0060781,0.9938,6.3919,-0.090008,-0.68089,1.056,0.090008,1.4855,0.66786,-3,0.01645
0.11476,-0.0064843,0.99336,6.322,-0.06629,-0.68697,1.0792,0.06629,1.504,0.68621,-3,0.014365
0.11839,-0.0068808,0.99293,6.249,-0.041813,-0.69151,1.1013,0.041813,1.5213,0.70339,-3,0.01235
0.12182,-0.0072635,0.99251,6.1723,-0.016378,-0.69459,1.1221,0.016378,1.5373,0.7193,-3,0.010423
0.12503,-0.007628,0.99211,6.0909,0.010246,-0.69633,1.1415,-0.010246,1.552,0.73391,-3,0.0086067
0.12798,-0.0079699,0.99173,6.0036,0.038378,-0.69684,1.1594,-0.038378,1.5653,0.74714,-3,0.0069194
0.13067,-0.0082847,0.99138,5.9088,0.068494,-0.69627,1.1757,-0.068494,1.5772,0.75894,-3,0.0053801
0.13306,-0.0085681,0.99106,5.8035,0.1014,-0.6948,1.1902,-0.1014,1.5877,0.76926,-3,0.0040064
0.13513,-0.0088158,0.99078,5.6831,0.13826,-0.6926,1.2027,-0.13826,1.5965,0.77806,-3,0.0028144
0.13686,-0.0090241,0.99054,5.539,0.18135,-0.6899,1.2132,-0.18135,1.6039,0.78532,-3,0.0018184
0.13823,-0.0091897,0.99034,5.348,0.23666,-0.68695,1.2215,-0.23666,1.6096,0.79099,-3,0.0010304
0.13922,-0.0093101,0.9902,5.0303,0.32379,-0.68404,1.2275,-0.32379,1.6137,0.79506,-3,0.0004604
0.13982,-0.009383,0.99012,3.9415,0.56381,-0.68148,1.2311,-0.56381,1.6162,0.7975,-3,0.00011547
0.10889,-0.0073187,-0.0034323,5.1085,0.18984,-0.12462,0.66409,-0.18984,1.617,0.79832,-3,9.9995e-18
