%eval_id interface         m_root          m_top         p_root          p_top         t_root          t_top           span      chord_tip    my_function 
25           NO_ID  0.02136264733   0.0420136925   0.3965195829   0.3046306376  0.08949436602   0.1218096466    9.961542112    1.363828091   -33.52141844 
26           NO_ID  0.01793617726 0.003331165436   0.4475899545   0.4443656711   0.1338417556   0.1083859249    9.605665088    1.241313371   -39.75236552 
27           NO_ID  0.01269150575 0.006137109481   0.4855961794   0.4149871196   0.1459818098  0.09627750454    7.288396495   0.6079884698   -36.74432148 
28           NO_ID  0.04811061206  0.04505692364   0.3868624377    0.396991212   0.1259548302   0.1328316788    13.86091446    1.038924848   -46.38876178 
29           NO_ID   0.0354963917  0.03785527641   0.4345227062   0.4231237711    0.129427323    0.115018072    13.39083905    0.983195652   -46.43768558 
30           NO_ID 0.003466169351 0.005908290043   0.3025230397   0.3047290481   0.1083888298  0.09106203407    14.94379326     1.03332817   -50.82194768 
31           NO_ID  0.03232744058  0.02729386786   0.4121487197   0.3835320939   0.1233656253  0.08606470136    6.347960286    1.016851905    -33.6085266 
32           NO_ID  0.03649840263  0.02865308422   0.3895459871   0.4994055675  0.08328074033    0.129402658    10.78185427    1.062476158   -41.49660495 
33           NO_ID  0.02683932349  0.03850996438   0.4478852572   0.4075172173  0.09465511814    0.128570575    12.95067799    1.204493028   -40.26890124 
34           NO_ID   0.0207164494  0.03136498438   0.3051700721   0.3934010916   0.1472512196  0.08124709869     9.28396255   0.5558574051    -40.6927625 
35           NO_ID  0.03977036948  0.02059990164   0.3901874004   0.4796391142   0.1481070353   0.1149414857    9.507084491   0.5569039691   -40.42770262 
36           NO_ID  0.01925039732   0.0414278124   0.4089717147   0.3876081505  0.09056506578   0.1270605486    7.377135662   0.7519064617   -37.45919419 
37           NO_ID  0.03959506049  0.02418162216    0.382094681   0.4653039334   0.1021231349    0.133528279    6.397818006   0.8127231795    -34.3983341 
38           NO_ID  0.04692388731  0.04977400433   0.3067632731   0.3703311291  0.09935032692  0.08094450684    12.76093024    1.295457571   -41.14862044 
