"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
0.014112,0,-0.99989,5.5692,5.513,5.4552,5.3958,5.3347,5.2719,5.2076,5.1417,5.0742,5.0052,4.9346,0.17256,0.18915,0.20607,0.22328,0.24078,0.25853,0.27651,0.29472,0.31311,0.33168,0.35038,-0.035398,0.10423,0.24383,0.38335,0.52277,0.66201,0.80105,0.93986,1.0784,1.2166,1.3544,0.61962,0.51323,0.40667,0.3,0.19323,0.086402,-0.020451,-0.1273,-0.23411,-0.34084,-0.44748,0.61646,0,0.014673
0.020981,0,-0.99977,5.6162,5.5557,5.4936,5.4297,5.3642,5.2971,5.2283,5.158,5.0861,5.0126,4.9376,0.15851,0.17654,0.19487,0.21348,0.23235,0.25145,0.27075,0.29025,0.3099,0.3297,0.3496,-0.051281,0.08616,0.22357,0.36092,0.49816,0.63525,0.77213,0.90879,1.0452,1.1812,1.3169,0.66145,0.55513,0.44863,0.342,0.23526,0.12845,0.021607,-0.085246,-0.19207,-0.29884,-0.40552,0.58449,0,0.014108
0.027279,0,-0.99962,5.6669,5.6018,5.535,5.4664,5.3962,5.3244,5.251,5.1759,5.0993,5.0211,4.9414,0.14325,0.16283,0.18269,0.2028,0.22315,0.2437,0.26442,0.2853,0.3063,0.32742,0.3486,-0.065655,0.069399,0.20443,0.3394,0.47427,0.609,0.74352,0.87784,1.0119,1.1456,1.279,0.69978,0.59353,0.48709,0.3805,0.2738,0.16701,0.060176,-0.046679,-0.15352,-0.26031,-0.36703,0.55208,0,0.01332
0.032875,0,-0.99946,5.7205,5.6504,5.5786,5.5051,5.4299,5.3531,5.2746,5.1945,5.1129,5.0297,4.9449,0.12697,0.14824,0.16975,0.19149,0.21343,0.23553,0.25778,0.28015,0.3026,0.32512,0.34767,-0.078314,0.054153,0.1866,0.31899,0.4513,0.58345,0.71542,0.84719,0.97869,1.1099,1.2408,0.73382,0.62763,0.52125,0.41471,0.30804,0.20127,0.09445,-0.012403,-0.11925,-0.22606,-0.33281,0.51936,0,0.01233
0.037638,0,-0.99929,5.7754,5.7001,5.623,5.5442,5.4637,5.3815,5.2977,5.2123,5.1253,5.0367,4.9466,0.11012,0.1332,0.15649,0.17997,0.20362,0.2274,0.25127,0.27522,0.29921,0.32323,0.34723,-0.08911,0.040571,0.17024,0.29985,0.42938,0.55877,0.68799,0.81701,0.94577,1.0742,1.2024,0.76278,0.65665,0.55032,0.44381,0.33717,0.23043,0.12362,0.016776,-0.090078,-0.1969,-0.30367,0.48648,0,0.011162
0.041436,0,-0.99914,5.8285,5.7475,5.6648,5.5804,5.4942,5.4064,5.317,5.2259,5.1332,5.039,4.9432,0.093709,0.11872,0.1439,0.16924,0.19469,0.22023,0.24582,0.27144,0.29705,0.32262,0.34812,-0.097989,0.028709,0.1554,0.28204,0.4086,0.53503,0.66129,0.78736,0.91318,1.0387,1.164,0.78587,0.67978,0.57349,0.46702,0.36041,0.25369,0.14689,0.040047,-0.066808,-0.17364,-0.28042,0.4536,0,0.0098525
0.044301,0,-0.99902,5.8723,5.7854,5.6967,5.6063,5.5142,5.4203,5.3249,5.2278,5.1292,5.0289,4.9272,0.080041,0.10708,0.13424,0.1615,0.18884,0.2162,0.24356,0.27089,0.29815,0.32531,0.35233,-0.10511,0.018412,0.14192,0.26539,0.38878,0.51205,0.63515,0.75808,0.88076,1.0032,1.1253,0.80328,0.69723,0.59097,0.48453,0.37794,0.27123,0.16444,0.057606,-0.049249,-0.15609,-0.26288,0.42084,0,0.0084403
0.051043,0,-0.99868,5.9083,5.8152,5.7203,5.6237,5.5254,5.4254,5.3238,5.2205,5.1157,5.0092,4.9013,0.068731,0.097846,0.12704,0.15627,0.18552,0.21473,0.24388,0.27293,0.30184,0.33059,0.35912,-0.11098,0.0091279,0.12923,0.2493,0.36929,0.48917,0.60889,0.72844,0.84776,0.96683,1.0856,0.84422,0.73827,0.63208,0.52571,0.41917,0.31251,0.20575,0.098931,-0.0079202,-0.11477,-0.22158,0.38792,0,0.0069398
0.063279,0,-0.99797,5.9597,5.8598,5.7582,5.6548,5.5496,5.4428,5.3344,5.2243,5.1126,4.9993,4.8846,0.052436,0.08393,0.11544,0.14693,0.17835,0.20968,0.24087,0.27188,0.30268,0.33323,0.36349,-0.11539,0.0010531,0.1175,0.23391,0.35025,0.46648,0.58257,0.69848,0.81418,0.92964,1.0448,0.91848,0.8127,0.70667,0.60043,0.494,0.38743,0.28073,0.17395,0.06712,-0.039733,-0.14657,0.35461,0,0.0050527
0.075847,0,-0.9971,6.0431,5.9352,5.8255,5.714,5.6007,5.4858,5.3692,5.251,5.1311,5.0097,4.8868,0.025695,0.060187,0.09462,0.12895,0.16314,0.19714,0.23091,0.26442,0.29761,0.33046,0.36292,-0.11713,-0.0045927,0.10795,0.22045,0.3329,0.44523,0.55743,0.66946,0.78129,0.89288,1.0042,0.99466,0.88908,0.78323,0.67714,0.57084,0.46437,0.35776,0.25104,0.14424,0.037396,-0.069458,0.3219,0,0.0027573
