"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
0.22512,0,0.97427,7.8513,7.9375,8.0212,8.1025,8.1813,8.2577,8.3315,8.4027,8.4715,8.5376,8.6012,-0.64461,-0.68092,-0.71658,-0.75157,-0.78582,-0.81933,-0.85201,-0.88384,-0.91481,-0.94485,-0.97392,-0.69013,-0.84111,-0.99181,-1.1423,-1.2923,-1.442,-1.5912,-1.74,-1.8883,-2.0359,-2.1829,0.85315,0.95882,1.0642,1.1693,1.274,1.3783,1.4822,1.5856,1.6886,1.791,1.8929,0.58811,0,0.16143
0.24553,0,0.96933,7.7186,7.7964,7.8719,7.945,8.0156,8.0838,8.1496,8.2128,8.2736,8.3318,8.3875,-0.58949,-0.62173,-0.65329,-0.68414,-0.71422,-0.74355,-0.77204,-0.79966,-0.82642,-0.85224,-0.8771,-0.75992,-0.91429,-1.0683,-1.2221,-1.3755,-1.5285,-1.681,-1.833,-1.9844,-2.1353,-2.2854,0.98026,1.0856,1.1906,1.2952,1.3994,1.5032,1.6066,1.7094,1.8118,1.9135,2.0147,0.61997,0,0.15342
0.26506,0,0.96417,7.5772,7.6472,7.7149,7.7802,7.8431,7.9037,7.9618,8.0175,8.0708,8.1217,8.17,-0.53184,-0.56028,-0.58802,-0.61504,-0.64128,-0.66675,-0.69137,-0.71513,-0.73803,-0.76001,-0.78104,-0.82613,-0.98365,-1.1408,-1.2977,-1.4542,-1.6102,-1.7657,-1.9207,-2.0752,-2.229,-2.382,1.1022,1.2071,1.3117,1.4158,1.5196,1.6228,1.7256,1.8279,1.9296,2.0307,2.1311,0.65124,0,0.14484
0.28375,0,0.95884,7.4269,7.4895,7.5498,7.6077,7.6633,7.7167,7.7677,7.8162,7.8625,7.9063,7.9478,-0.47169,-0.4966,-0.52079,-0.54425,-0.56693,-0.58884,-0.60991,-0.63012,-0.64949,-0.66795,-0.68549,-0.88844,-1.0489,-1.2089,-1.3687,-1.528,-1.6869,-1.8452,-2.003,-2.1602,-2.3167,-2.4725,1.219,1.3235,1.4276,1.5313,1.6345,1.7372,1.8394,1.9411,2.0421,2.1425,2.2423,0.68177,0,0.13578
0.3016,0,0.95337,7.2673,7.3227,7.376,7.427,7.4757,7.5222,7.5664,7.6083,7.6478,7.6851,7.72,-0.40911,-0.43073,-0.45163,-0.47179,-0.49117,-0.5098,-0.5276,-0.54456,-0.56069,-0.57594,-0.59031,-0.94655,-1.1097,-1.2724,-1.4349,-1.5968,-1.7583,-1.9192,-2.0796,-2.2393,-2.3984,-2.5566,1.3308,1.4349,1.5385,1.6417,1.7444,1.8465,1.9481,2.0491,2.1495,2.2492,2.3482,0.71145,0,0.12633
0.31862,0,0.94781,7.0978,7.1466,7.1932,7.2376,7.2797,7.3197,7.3575,7.3929,7.4262,7.4572,7.486,-0.34421,-0.36276,-0.38059,-0.3977,-0.41403,-0.42964,-0.44444,-0.45841,-0.47158,-0.48391,-0.49539,-1.0003,-1.1659,-1.3311,-1.4959,-1.6603,-1.8242,-1.9875,-2.1502,-2.3123,-2.4737,-2.6342,1.4376,1.5412,1.6444,1.747,1.8492,1.9507,2.0517,2.1521,2.2518,2.3508,2.4491,0.74017,0,0.11658
0.33483,0,0.94219,6.918,6.9603,7.0005,7.0386,7.0744,7.1083,7.1399,7.1693,7.1965,7.2216,7.2445,-0.27698,-0.29267,-0.30766,-0.32193,-0.33545,-0.34828,-0.36031,-0.37155,-0.38202,-0.39168,-0.40055,-1.0493,-1.2172,-1.3847,-1.5518,-1.7183,-1.8844,-2.0499,-2.2148,-2.379,-2.5425,-2.7051,1.5394,1.6426,1.7453,1.8474,1.949,2.05,2.1503,2.25,2.3491,2.4474,2.5449,0.76781,0,0.10664
0.35022,0,0.93657,6.7268,6.763,6.7971,6.8291,6.8589,6.8869,6.9126,6.9362,6.9578,6.9772,6.9946,-0.20743,-0.22046,-0.23281,-0.24446,-0.25539,-0.26565,-0.27516,-0.28389,-0.2919,-0.29914,-0.30565,-1.0937,-1.2636,-1.4331,-1.6022,-1.7708,-1.9389,-2.1063,-2.2732,-2.4394,-2.6047,-2.7693,1.6363,1.739,1.8411,1.9428,2.0438,2.1442,2.2439,2.343,2.4413,2.5389,2.6358,0.79426,0,0.096598
0.36478,0,0.93098,6.5235,6.5537,6.5819,6.6081,6.6322,6.6545,6.6747,6.6927,6.7088,6.7229,6.735,-0.13559,-0.14615,-0.15606,-0.16529,-0.17383,-0.18174,-0.18894,-0.19539,-0.20116,-0.20622,-0.2106,-1.1332,-1.3049,-1.4763,-1.6473,-1.8177,-1.9875,-2.1568,-2.3254,-2.4933,-2.6604,-2.8267,1.7281,1.8303,1.932,2.033,2.1335,2.2333,2.3325,2.4309,2.5286,2.6255,2.7216,0.81944,0,0.08656
0.3785,0,0.92546,6.3068,6.3313,6.3539,6.3744,6.393,6.4098,6.4246,6.4373,6.4481,6.457,6.4641,-0.061479,-0.069748,-0.077396,-0.084393,-0.09074,-0.096507,-0.10159,-0.10598,-0.10972,-0.11281,-0.11528,-1.1678,-1.3412,-1.5142,-1.6868,-1.8589,-2.0304,-2.2012,-2.3714,-2.5409,-2.7096,-2.8774,1.8147,1.9165,2.0176,2.1182,2.2181,2.3173,2.4159,2.5137,2.6107,2.7069,2.8024,0.84325,0,0.07663
