"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","Points:0","Points:1","Points:2"
0.21461,0,0.97665,7.9128,-0.67043,-0.76942,0.98336,0.67043,0.64786,0,0.11891
0.23313,0,0.9724,7.8081,-0.62653,-0.82694,1.098,0.62653,0.67855,0,0.11186
0.25088,0,0.96798,7.6977,-0.58085,-0.88047,1.208,0.58085,0.7084,0,0.1044
0.26785,0,0.96342,7.5814,-0.53346,-0.9298,1.3133,0.53346,0.73731,0,0.096633
0.28405,0,0.95877,7.4591,-0.48441,-0.97474,1.4139,0.48441,0.76515,0,0.088633
0.29948,0,0.95407,7.331,-0.43387,-1.0152,1.5098,0.43387,0.79183,0,0.08049
0.31412,0,0.94935,7.197,-0.38194,-1.051,1.6009,0.38194,0.81723,0,0.072296
0.32795,0,0.94467,7.0568,-0.32864,-1.0822,1.687,0.32864,0.84127,0,0.06414
0.34096,0,0.94006,6.9103,-0.27407,-1.1088,1.7681,0.27407,0.86386,0,0.056117
0.3531,0,0.93556,6.7574,-0.21835,-1.1309,1.8438,0.21835,0.88493,0,0.048317
0.36436,0,0.93124,6.5979,-0.16151,-1.1487,1.9141,0.16151,0.90439,0,0.040832
0.37469,0,0.92713,6.431,-0.10354,-1.1623,1.9787,0.10354,0.92219,0,0.03375
0.38407,0,0.92329,6.2562,-0.044379,-1.1721,2.0373,0.044379,0.93826,0,0.027154
0.39244,0,0.91977,6.072,0.016177,-1.1783,2.0896,-0.016177,0.95256,0,0.021126
0.39979,0,0.9166,5.8769,0.078327,-1.1814,2.1356,-0.078327,0.96503,0,0.015739
0.40606,0,0.91384,5.668,0.14264,-1.182,2.1749,-0.14264,0.97565,0,0.01106
0.41125,0,0.91152,5.4395,0.21026,-1.1805,2.2074,-0.21026,0.98439,0,0.0071469
0.4153,0,0.90968,5.1788,0.28397,-1.1776,2.2328,-0.28397,0.9912,0,0.0040506
0.41822,0,0.90835,4.8396,0.37412,-1.1741,2.251,-0.37412,0.99609,0,0.00181
0.41998,0,0.90754,4.2054,0.52314,-1.1707,2.2621,-0.52314,0.99902,0,0.00045396
