"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","Points:0","Points:1","Points:2"
0.3267,0,0.94506,7.5137,-0.50622,-0.90798,1.4899,0.50622,0.76744,0,0.10313
0.34361,0,0.93905,7.373,-0.45035,-0.95041,1.5963,0.45035,0.79403,0,0.093576
0.35963,0,0.93303,7.2259,-0.39309,-0.98785,1.6972,0.39309,0.81931,0,0.083982
0.37474,0,0.92707,7.0726,-0.33462,-1.0203,1.7925,0.33462,0.84321,0,0.074454
0.38892,0,0.92122,6.913,-0.27508,-1.0478,1.8821,0.27508,0.86563,0,0.065096
0.40215,0,0.91552,6.747,-0.21463,-1.0704,1.9658,0.21463,0.8865,0,0.056014
0.4144,0,0.91005,6.5752,-0.15358,-1.0882,2.0435,0.15358,0.90576,0,0.04731
0.42563,0,0.90486,6.3977,-0.092153,-1.1017,2.1147,0.092153,0.92335,0,0.039085
0.4358,0,0.90001,6.2147,-0.030595,-1.111,2.1793,0.030595,0.93922,0,0.031433
0.44489,0,0.89555,6.0276,0.030505,-1.1165,2.2371,-0.030505,0.95332,0,0.024445
0.45285,0,0.89156,5.8392,0.090151,-1.1187,2.2878,-0.090151,0.96562,0,0.018206
0.45965,0,0.88808,5.6564,0.14625,-1.1182,2.3311,-0.14625,0.97607,0,0.012789
0.46525,0,0.88515,5.4986,0.19328,-1.1156,2.3669,-0.19328,0.98466,0,0.008263
0.46964,0,0.88284,5.4268,0.21433,-1.1117,2.3949,-0.21433,0.99136,0,0.0046823
0.4728,0,0.88115,5.6655,0.14214,-1.1072,2.415,-0.14214,0.99616,0,0.002092
0.47469,0,0.88013,7.3815,-0.51158,-1.1033,2.4271,0.51158,0.99904,0,0.00052466
